step,data
59,0,0,0,0,0
119,-25.49927,5.09512,12.52152,-9.282501,-46.79599
179,-9.377045,11.32112,-10.59406,-11.34409,24.57842
239,0.6460001,-4.337494,5.014525,-13.01624,24.93275
299,-11.19482,1.911426,15.41905,-34.48529,6.964775
359,0.6937597,-2.56366,0.9921414,-6.058838,33.24028
419,2.283373,-5.003235,2.260716,-10.2438,48.0709
479,-15.91495,5.287318,12.94778,-34.37024,33.58331
539,-1.349274,-2.469391,7.410972,-19.60672,47.34877
599,-12.34644,2.726468,11.45134,-22.79605,24.7266
659,-12.04599,7.387082,0.6742477,-11.7395,20.28246
719,-2.200317,-1.575165,5.960599,-10.96597,40.07956
779,-2.931305,-1.175354,5.106926,-9.289001,22.12887
839,-12.92172,4.772325,13.0932,-31.30469,36.77772
899,-6.184875,4.100298,4.98997,-6.075928,30.62541
959,-10.59296,1.679737,19.57015,-29.64539,30.88024
1019,-9.86261,7.393277,4.407096,-8.032257,12.97351
1079,-2.68399,5.487697,1.464622,3.218174,14.2385
1139,-11.12244,7.891087,10.61172,-17.90497,30.92047
1199,-22.51559,6.330445,20.42167,-23.78503,25.45644
1259,-3.395142,5.200192,9.208044,-10.64276,31.26033
1319,-0.9134521,6.754437,2.558846,-0.8588257,28.9856
1379,-3.671448,5.444756,7.260027,-7.408722,39.35062
1439,0.7823027,2.010049,12.29125,-13.01358,32.37298
1499,-11.21594,5.205388,19.80157,-21.17825,18.77836
1559,-16.07788,8.212316,18.56337,-19.05884,15.67209
1619,-21.22891,11.91212,16.48929,-20.05203,10.79508
1679,-11.38412,14.44551,3.901664,-10.10004,43.27455
1739,-8.059723,6.130183,14.46188,-10.99554,13.14675
1799,-14.20944,-0.3287354,31.32512,-29.93115,19.64293
1859,-10.12653,11.12267,10.35085,-15.68576,46.93102
1919,-8.397217,0.6251186,25.41458,-24.85239,35.00957
1979,-20.53943,13.45684,15.44301,-21.12668,32.83991
